,StartDate,EndDate,Status,IPAddress,Progress,duration,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2.1_Id,Q2.1_Name,Q2.1_Size,Q2.1_Type,prolific_id,dt_q1,dt_q2,understood_system_did_well_dt,system_confusing_complicated_dt,system_confusing_confusing_dt,understood_system_easy_to_understand_dt,system_confusing_hard_to_remember_dt,understood_system_predictable_dt,understood_system_how_it_works_dt,understood_system_inputs_and_outputs_dt,lr_q1,lr_q2,understood_system_did_well_lr,system_confusing_complicated_lr,system_confusing_confusing_lr,understood_system_easy_to_understand_lr,system_confusing_hard_to_remember_lr,understood_system_predictable_lr,understood_system_how_it_works_lr,understood_system_inputs_and_outputs_lr,bb_no_shap_q1,bb_no_shap_q2,understood_system_did_well_bb_no_shap,system_confusing_complicated_bb_no_shap,system_confusing_confusing_bb_no_shap,understood_system_easy_to_understand_bb_no_shap,system_confusing_hard_to_remember_bb_no_shap,understood_system_predictable_bb_no_shap,understood_system_how_it_works_bb_no_shap,understood_system_inputs_and_outputs_bb_no_shap,bb_shap_q1,bb_shap_q2,understood_system_did_well_bb_shap,system_confusing_complicated_bb_shap,system_confusing_confusing_bb_shap,understood_system_easy_to_understand_bb_shap,system_confusing_hard_to_remember_bb_shap,understood_system_predictable_bb_shap,understood_system_how_it_works_bb_shap,understood_system_inputs_and_outputs_bb_shap,Q9.1,Q9.2,Q9.3_1,Q9.3_2,Q9.3_3,Q9.3_4,Q9.4,PROLIFIC_PID,dataset_name,bb_profile_1,bb_profile_2,int_profile_1,int_profile_2,first_model,bb_model,int_model,taken_in_appropiate_time_window,int_q1_correct_answer,int_q2_correct_answer,bb_q1_correct_answer,bb_q2_correct_answer,q1_is_correct_int,q1_is_correct_bb,q2_is_correct_int,q2_is_correct_bb,understood_system_bb,understood_system_int,system_confusing_bb,system_confusing_int
0,2021-08-23 22:54:23,2021-08-23 23:00:14,IP Address,104.35.20.232,100,351,True,2021-08-23 23:00:15,R_yqnE1JHcvGdFz7H,,,,,33.92999267578125,-117.94770050048828125,anonymous,EN,1,F_z6iKgOtuJxyuhMZ,signature.png,14093,image/png,6102d3c05c31cb5c38158b34,,,,,,,,,,,Fail,First year grade,5.0,5.0,4.0,2.0,2.0,4.0,4.0,4.0,,,,,,,,,,,Pass,First year grade,5.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,8,Not knowledgeable at all,No,No,Yes,No,No,6102d3c05c31cb5c38158b34,education,2,4,1,4,int,shap,lr,True,Fail,First year grade,Pass,First year grade,1,1,1,1,3.8,3.8,4.666666666666667,3.6666666666666665
1,2021-08-23 23:24:31,2021-08-23 23:31:44,IP Address,47.147.135.146,100,433,True,2021-08-23 23:31:45,R_2sErBZc7mlGv79v,,,,,33.7902984619140625,-118.12149810791015625,anonymous,EN,1,F_1P8lvw788zdBWFh,signature.png,14986,image/png,610b88a14eed14f2b8b17b86,,,,,,,,,,,Pass,Number of absences,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,Fail,First year grade,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,,,,,,,,,,,16,Not knowledgeable at all,No,No,No,No,No,610b88a14eed14f2b8b17b86,education,1,3,4,1,bb,no_shap,lr,True,Pass,First year grade,Fail,First year grade,1,1,0,1,4.0,2.4,2.6666666666666665,4.0
2,2021-08-23 23:55:52,2021-08-24 00:01:24,IP Address,68.172.164.31,100,332,True,2021-08-24 00:01:26,R_BEeWM93HGxSRK8N,,,,,43.2122955322265625,-77.69950103759765625,anonymous,EN,0.89999997615814208984375,F_1cTaUoQcmSH3xbZ,signature.png,12886,image/png,610c24152939c927ad421fa9,Pass,First year grade,4.0,2.0,1.0,5.0,4.0,3.0,5.0,5.0,,,,,,,,,,,Fail,First year grade,4.0,1.0,1.0,5.0,2.0,4.0,5.0,5.0,,,,,,,,,,,5,Slightly knowledgeable,No,No,Yes,No,No,610c24152939c927ad421fa9,education,3,2,4,3,int,no_shap,dt,True,Pass,First year grade,Fail,First year grade,1,1,1,1,4.6,4.4,1.3333333333333333,2.3333333333333335
3,2021-08-24 00:12:19,2021-08-24 00:21:13,IP Address,24.165.25.108,100,534,True,2021-08-24 00:21:14,R_PAMuZ9Y8gMdN4S5,,,,,21.2816925048828125,-157.8249969482421875,anonymous,EN,0.89999997615814208984375,F_3k1cfNl8IpZWqxi,signature.png,15188,image/png,60fd5178af4a40ee405f57cf,Fail,First year grade,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,Fail,First year grade,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,0,Slightly knowledgeable,No,No,No,No,No,60fd5178af4a40ee405f57cf,education,1,2,1,4,bb,shap,dt,True,Fail,First year grade,Fail,First year grade,1,1,1,1,3.8,4.2,3.3333333333333335,4.0
4,2021-08-24 00:19:30,2021-08-24 00:28:18,IP Address,107.133.143.192,100,527,True,2021-08-24 00:28:19,R_7UR8fT0mMTamY1P,,,,,34.1623992919921875,-118.12750244140625,anonymous,EN,1,F_3lFk7l2JISgLF69,signature.png,18484,image/png,60fc576e3a4df1ba622a76a1,,,,,,,,,,,Pass,First year grade,2.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,,,,,,,,,,,Pass,First year grade,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2,Not knowledgeable at all,No,No,No,No,No,60fc576e3a4df1ba622a76a1,education,2,4,4,1,int,shap,lr,True,Pass,First year grade,Pass,First year grade,1,1,1,1,3.6,2.6,4.0,4.0
5,2021-08-24 00:26:55,2021-08-24 00:33:58,IP Address,108.49.32.202,100,422,True,2021-08-24 00:33:58,R_32JgaURTMECz9Om,,,,,42.56390380859375,-70.94629669189453125,anonymous,EN,1,F_Z1rUb0sFZUCzSHD,signature.png,12292,image/png,6108bae61196a3bd6fc3a24b,Fail,First year grade,3.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,Pass,First year grade,5.0,1.0,1.0,5.0,1.0,4.0,5.0,5.0,2,Moderately knowledgeable,No,No,No,No,No,6108bae61196a3bd6fc3a24b,education,4,2,1,2,int,shap,dt,True,Fail,First year grade,Pass,First year grade,1,1,1,1,4.8,3.8,1.0,2.0
6,2021-08-24 00:36:46,2021-08-24 00:48:20,IP Address,173.172.230.160,100,694,True,2021-08-24 00:48:21,R_3e4dH3tBn60smlx,,,,,32.76849365234375,-96.68090057373046875,anonymous,EN,0.89999997615814208984375,F_2yf6Sza7e7nLgVp,signature.png,15810,image/png,60fd0dd1b8b6c7057d178986,,,,,,,,,,,Fail,First year grade,4.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,,,,,,,,,,,Pass,First year grade,5.0,2.0,1.0,4.0,1.0,4.0,5.0,3.0,3,Slightly knowledgeable,Yes,No,Yes,No,No,60fd0dd1b8b6c7057d178986,education,1,2,3,1,int,shap,lr,True,Fail,First year grade,Fail,First year grade,1,0,1,1,4.2,3.8,1.3333333333333333,5.0
7,2021-08-24 01:14:37,2021-08-24 01:22:58,IP Address,104.9.232.139,100,500,True,2021-08-24 01:22:58,R_ulbijuqy9FMsS1r,,,,,32.804595947265625,-97.19370269775390625,anonymous,EN,1,F_02iLelub1F8Xqw1,signature.png,8586,image/png,610dd9b10888c8a8801619d0,Pass,First year grade,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,Pass,First year grade,5.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4,Slightly knowledgeable,Yes,Yes,Yes,Yes,No,610dd9b10888c8a8801619d0,education,1,4,2,1,int,shap,dt,True,Pass,First year grade,Fail,First year grade,1,0,1,1,3.6,3.8,3.6666666666666665,4.0
8,2021-08-24 02:39:19,2021-08-24 02:47:14,IP Address,174.103.0.57,100,475,True,2021-08-24 02:47:15,R_31GXhz4W0MZkX6a,,,,,37.7537994384765625,-87.07790374755859375,anonymous,EN,1,F_3n7z0I8VYhhRBnw,signature.png,14343,image/png,60fe250b3984cfdf32c05860,Fail,First year grade,4.0,5.0,5.0,1.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,Pass,Number of absences,4.0,5.0,5.0,2.0,4.0,3.0,3.0,3.0,20,Moderately knowledgeable,No,No,No,No,No,60fe250b3984cfdf32c05860,education,2,1,1,2,int,shap,dt,True,Fail,First year grade,Pass,First year grade,1,1,1,0,3.0,2.8,4.666666666666667,4.666666666666667
9,2021-08-24 03:16:28,2021-08-24 03:21:33,IP Address,69.18.251.234,100,305,True,2021-08-24 03:21:34,R_1nNj4NgSb6jflfd,,,,,38.3572998046875,-97.02010345458984375,anonymous,EN,0.89999997615814208984375,F_eA0fmy2Ewx2kJGN,signature.png,15837,image/png,60fd4b01d7a25b34ca38a180,,,,,,,,,,,Fail,First year grade,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,Pass,First year grade,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,,,,,,,,,,,14,Not knowledgeable at all,No,No,No,No,No,60fd4b01d7a25b34ca38a180,education,4,1,1,3,bb,no_shap,lr,True,Fail,First year grade,Pass,First year grade,1,1,1,1,3.8,3.8,4.0,4.0
